Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch
Acura        ,Integra          ,0.031101802013503536,16.36,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2-Feb-14
Acura        ,TL               ,0.07266893760951501,19.875,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,6-Mar-15
Acura        ,CL               ,0.025911692271824827,18.225,Passenger,.,3.2,225,106.9,70.6,192,3.47,17.2,26,1-Apr-14
Acura        ,RL               ,0.015686898534742276,29.725,Passenger,42,3.5,210,114.6,71.4,196.6,3.85,18,22,3-Oct-15
Audi         ,A4               ,0.03753716803188448,22.255,Passenger,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,10-Aug-15
Audi         ,A6               ,0.03454522241609322,23.555,Passenger,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,8-Sep-15
Audi         ,A8               ,0.002349889259155779,39,Passenger,62,4.2,310,113,74,198.2,3.902,23.7,21,27-Feb-14
BMW          ,323i             ,0.036334468804757505,.,Passenger,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,28-Jun-15
BMW          ,328i             ,0.016876645616346345,28.675,Passenger,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,29-Jan-14
BMW          ,528i             ,0.03222678836749307,36.125,Passenger,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,4-Apr-15
Buick        ,Century          ,0.1692123800307521,12.475,Passenger,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,11-Feb-15
Buick        ,Regal            ,0.07260602718840375,13.74,Passenger,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,9-Mar-15
Buick        ,Park Avenue      ,0.051329352707275955,20.19,Passenger,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,23-Mar-14
Buick        ,LeSabre          ,0.15384743482757918,13.36,Passenger,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,23-Jul-15
Cadillac     ,DeVille          ,0.11771464943167835,22.525,Passenger,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,23-Feb-14
Cadillac     ,Seville          ,0.0292959028663098,27.1,Passenger,44.475,4.6,275,112.2,75,201,.,18.5,22,29-Apr-15
Cadillac     ,Eldorado         ,0.011890069590027587,25.725,Passenger,39.665,4.6,275,108,75.5,200.6,3.843,19,22,27-Nov-15
Cadillac     ,Catera           ,0.020492144523740357,18.225,Passenger,31.01,3,200,107.4,70.3,194.8,3.77,18,22,28-Sep-15
Cadillac     ,Escalade         ,0.027153247935520514,.,Car,46.225,5.7,255,117.5,77,201.2,5.572,30,15,17-Apr-14
Chevrolet    ,Cavalier         ,0.26905121833431705,9.25,Passenger,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,17-Aug-15
Chevrolet    ,Malibu           ,0.24982098284580842,11.225,Passenger,16.535,3.1,170,107,69.4,190.4,3.051,15,25,19-Mar-14
Chevrolet    ,Lumina           ,0.045367665153732716,10.31,Passenger,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,24-May-15
Chevrolet    ,Monte Carlo      ,0.07860657117851573,11.525,Passenger,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,22-Dec-15
Chevrolet    ,Camaro           ,0.04864825858403444,13.025,Passenger,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,23-Oct-15
Chevrolet    ,Corvette         ,0.03300391709886742,36.225,Passenger,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,5-Dec-14
Chevrolet    ,Prizm            ,0.05955951603383099,9.125,Passenger,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,9-Nov-15
Chevrolet    ,Metro            ,0.04023491491365544,5.16,Passenger,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,13-Apr-14
Chevrolet    ,Impala           ,0.19962031710552852,.,Passenger,18.89,3.4,180,110.5,73,200,3.389,17,27,18-Jun-15
Chrysler     ,Sebring Coupe    ,0.014328773561340435,12.36,Passenger,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,16-Jan-14
Chrysler     ,Sebring Conv.    ,0.060440261929388596,14.18,Passenger,24.495,2.5,168,106,69.2,193,3.332,16,24,17-Nov-15
Chrysler     ,Concorde         ,0.057429813248564617,13.725,Passenger,22.245,2.7,200,113,74.4,209.1,3.452,17,26,6-Jun-14
Chrysler     ,Cirrus           ,0.059572468179353896,12.64,Passenger,16.48,2,132,108,71,186,2.911,16,27,10-Jun-15
Chrysler     ,LHS              ,0.024705292431691304,17.325,Passenger,28.34,3.5,253,113,74.4,207.7,3.564,17,23,5-Aug-14
Chrysler     ,Town & Country   ,0.09875085807964089,19.54,Car,.,.,.,.,.,.,.,.,.,13-Jul-15
Chrysler     ,300M             ,0.05659347470908556,.,Passenger,29.185,3.5,253,113,74.4,197.8,3.567,17,23,2-Oct-14
Dodge        ,Neon             ,0.1404826709544436,7.75,Passenger,12.64,2,132,105,74.4,174.4,2.567,12.5,29,12-Dec-15
Dodge        ,Avenger          ,0.008555817271130962,12.545,Passenger,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,7-Jan-14
Dodge        ,Stratus          ,0.13151238502657966,10.185,Passenger,20.23,2.5,168,108,71,186,3.058,16,24,31-Oct-15
Dodge        ,Intrepid         ,0.16267524715469117,12.275,Passenger,22.505,2.7,202,113,74.7,203.7,3.489,17,.,6-Feb-14
Dodge        ,Viper            ,0.0014913470416374473,58.47,Passenger,69.725,8,450,96.2,75.7,176.7,3.375,19,16,8-Jul-15
Dodge        ,Ram Pickup       ,0.4199289112241442,15.06,Car,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,3-Jun-14
Dodge        ,Ram Wagon        ,0.030820555425006148,15.51,Car,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,1-Jun-14
Dodge        ,Ram Van          ,0.057226279533204666,13.425,Car,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,26-Jul-14
Dodge        ,Dakota           ,0.2057596340833859,11.26,Car,16.98,2.5,120,131,71.5,215,3.557,22,19,25-Nov-15
Dodge        ,Durango          ,0.18727507211569594,.,Car,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,27-Jun-14
Dodge        ,Caravan          ,0.33608782294787126,12.025,Car,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,9-Jan-15
Ford         ,Escort           ,0.12973794108994155,7.425,Passenger,12.07,2,110,98.4,67,174.7,2.468,12.7,30,31-Mar-14
Ford         ,Mustang          ,0.2095638642541137,12.76,Passenger,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,31-Jan-14
Ford         ,Contour          ,0.0646830147413919,8.835,Passenger,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,20-Aug-14
Ford         ,Taurus           ,0.4546295593865123,10.055,Passenger,17.885,3,155,108.5,73,197.6,3.368,16,24,20-Dec-15
Ford         ,Focus            ,0.3248398097144791,.,Passenger,12.315,2,107,103,66.9,174.8,2.564,13.2,30,22-Jul-14
Ford         ,Crown Victoria   ,0.11711144951161159,14.21,Passenger,22.195,4.6,200,114.7,78.2,212,3.908,19,21,26-Sep-15
Ford         ,Explorer         ,0.5118632401457301,16.64,Car,31.93,4,210,111.6,70.2,190.7,3.876,21,19,25-Apr-14
Ford         ,Windstar         ,0.2880501655099167,13.175,Car,21.41,3,150,120.7,76.6,200.9,3.761,26,21,25-Feb-14
Ford         ,Expedition       ,0.23171018279177943,23.575,Car,36.135,4.6,240,119,78.7,204.6,4.808,26,16,14-Sep-14
Ford         ,Ranger           ,0.40806659623166575,7.85,Car,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,14-Jan-14
Ford         ,F-Series         ,0.9999999999999999,15.075,Car,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,16-Aug-14
Honda        ,Civic            ,0.36927492039056264,9.85,Passenger,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,21-Oct-15
Honda        ,Accord           ,0.427035938503213,13.21,Passenger,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,20-May-14
Honda        ,CR-V             ,0.1352444532436798,17.71,Car,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,21-Mar-14
Honda        ,Passport         ,0.02358215638420504,17.525,Car,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,10-Sep-14
Honda        ,Odyssey          ,0.14047341942192723,19.49,Car,26,3.5,210,118.1,75.6,201.2,4.288,20,23,2-Aug-14
Hyundai      ,Accent           ,0.0759994893154051,5.86,Passenger,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,9-Oct-14
Hyundai      ,Elantra          ,0.12319710760087406,7.825,Passenger,11.799,2,140,100.4,66.9,174,2.626,14.5,27,15-Nov-15
Hyundai      ,Sonata           ,0.05428799280600831,8.91,Passenger,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,14-Jun-14
Infiniti     ,I30              ,0.04367278439673532,19.69,Passenger,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,15-Apr-14
Jaguar       ,S-Type           ,0.0284151569707522,.,Passenger,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,11-Mar-14
Jeep         ,Wrangler         ,0.10259394468693739,13.475,Car,14.46,2.5,120,93.4,66.7,152,3.045,19,17,3-Apr-14
Jeep         ,Cherokee         ,0.1488497569622408,13.775,Car,21.62,4,190,101.4,69.4,167.5,3.194,20,20,10-May-14
Jeep         ,Grand Cherokee   ,0.2903685995585168,18.81,Car,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,12-Oct-15
Lexus        ,ES300            ,0.04433704443141005,26.975,Passenger,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,7-Sep-14
Lexus        ,GS300            ,0.023291658263191295,32.075,Passenger,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,5-Oct-14
Lexus        ,GS400            ,0.005965388166549788,.,Passenger,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,28-Nov-14
Lexus        ,LS400            ,0.011592170243000752,40.375,Passenger,54.005,4,290,112.2,72,196.7,3.89,22.5,22,29-Mar-14
Lexus        ,LX470            ,0.016682363433502757,.,Car,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,30-Oct-14
Lexus        ,RX300            ,0.09460247089930447,.,Car,34.605,3,220,103,71.5,180.1,3.9,17.2,21,1-Apr-14
Lincoln      ,Continental      ,0.025326995416790787,20.525,Passenger,39.08,4.6,275,109,73.6,208.5,3.868,20,22,8-Mar-14
Lincoln      ,Town car         ,0.0902968076661899,21.725,Passenger,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,6-Apr-14
Lincoln      ,Navigator        ,0.04221474287215677,.,Car,42.66,5.4,300,119,79.9,204.8,5.393,30,15,23-Dec-14
Mitsubishi   ,Mirage           ,0.04833370647847815,8.325,Passenger,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,23-Apr-14
Mitsubishi   ,Eclipse          ,0.07851035524034555,10.395,Passenger,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,24-Nov-14
Mitsubishi   ,Galant           ,0.10270311277063045,10.595,Passenger,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,29-Jan-14
Mitsubishi   ,Diamante         ,0.010363566724827968,16.575,Passenger,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,28-Aug-14
Mitsubishi   ,3000GT           ,0.0,20.94,Passenger,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,29-Jun-14
Mitsubishi   ,Montero          ,0.02077339111223774,19.125,Car,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,17-Jan-14
Mitsubishi   ,Montero Sport    ,0.07260232657539721,13.88,Car,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,18-May-14
Mercury      ,Mystique         ,0.026350214913100353,8.8,Passenger,16.24,2,125,106.5,69.1,184.8,2.769,15,28,19-Dec-14
Mercury      ,Cougar           ,0.04888324750995002,13.89,Passenger,16.54,2,125,106.4,69.6,185,2.892,16,30,23-Feb-14
Mercury      ,Sable            ,0.12553589502101023,11.03,Passenger,19.035,3,153,108.5,73,199.7,3.379,16,24,22-Sep-14
Mercury      ,Grand Marquis    ,0.14999324638126307,14.875,Passenger,22.605,4.6,200,114.7,78.2,212,3.958,19,21,24-Jul-14
Mercury      ,Mountaineer      ,0.050881578533484066,20.43,Car,27.56,4,210,111.6,70.2,190.1,3.876,21,18,13-Feb-08
Mercury      ,Villager         ,0.03750571282132885,14.795,Car,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,20-Oct-09
Mercedes-Benz,C-Class          ,0.033827303492823584,26.05,Passenger,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,24-Apr-15
Mercedes-Benz,E-Class          ,0.05086862638796116,41.45,Passenger,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,7-Dec-15
Mercedes-Benz,S-Class          ,0.030833507570529054,50.375,Passenger,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,13-Jun-15
Mercedes-Benz,SL-Class         ,0.0059228311169745255,58.6,Passenger,82.6,5,302,99,71.3,177.1,4.125,21.1,20,17-Mar-15
Mercedes-Benz,SLK              ,0.014595217697811642,.,Passenger,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,16-Jan-15
Mercedes-Benz,SLK230           ,0.00262003400863353,.,Passenger,41,2.3,185,94.5,67.5,157.3,2.975,14,27,8-Jun-15
Mercedes-Benz,CLK Coupe        ,0.021245219270572168,.,Passenger,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,7-Aug-15
Mercedes-Benz,CL500            ,0.001561658688761793,.,Passenger,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,4-Nov-15
Mercedes-Benz,M-Class          ,0.05341094752345725,.,Car,35.3,3.2,215,111,72.2,180.6,4.387,19,20,2-Oct-15
Nissan       ,Sentra           ,0.07869908650367934,8.45,Passenger,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,31-Aug-15
Nissan       ,Altima           ,0.16279736738390713,11.295,Passenger,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,8-Feb-15
Nissan       ,Maxima           ,0.14754899149044037,15.125,Passenger,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,5-Jun-15
Nissan       ,Quest            ,0.05032463627599911,15.38,Car,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,3-Jul-15
Nissan       ,Pathfinder       ,0.07857141535495354,17.81,Car,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,25-Sep-15
Nissan       ,Xterra           ,0.10000536588885948,.,Car,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,24-Jan-15
Nissan       ,Frontier         ,0.12007564052985376,.,Car,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,27-Aug-15
Oldsmobile   ,Cutlass          ,0.0018540071162788116,11.24,Passenger,18.145,3.1,150,107,69.4,192,3.102,15.2,25,31-May-15
Oldsmobile   ,Intrigue         ,0.07113318321179904,.,Passenger,24.15,3.5,215,109,73.6,195.9,3.455,18,.,4-Jan-15
Oldsmobile   ,Alero            ,0.14829281470475583,.,Passenger,18.27,2.4,150,107,70.1,186.7,2.958,15,27,20-Oct-09
Oldsmobile   ,Aurora           ,0.026977468817709647,19.89,Passenger,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,18-Feb-15
Oldsmobile   ,Bravada          ,0.03683405156064101,19.925,Car,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,21-Sep-15
Oldsmobile   ,Silhouette       ,0.044871783010855745,15.24,Car,25.345,3.4,185,120,72.2,201.4,3.948,25,22,25-Jun-15
Plymouth     ,Neon             ,0.06036439936275444,7.75,Passenger,12.64,2,132,105,74.4,174.4,2.559,12.5,29,26-Apr-15
Plymouth     ,Breeze           ,0.00949207236178673,9.8,Passenger,16.08,2,132,108,71,186.3,2.942,16,27,14-Nov-15
Plymouth     ,Voyager          ,0.04449061987118166,12.025,Car,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,24-Apr-15
Plymouth     ,Prowler          ,0.0032602400587657347,.,Passenger,43,3.5,253,113.3,76.3,165.4,2.85,12,21,27-Jun-14
Pontiac      ,Sunfire          ,0.09535554564613628,13.79,Passenger,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,25-Jan-14
Pontiac      ,Grand Am         ,0.24236609794412445,10.29,Passenger,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,26-Nov-14
Pontiac      ,Firebird         ,0.036637919071294156,17.805,Passenger,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,16-Jun-14
Pontiac      ,Grand Prix       ,0.17069817615287972,14.01,Passenger,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,15-Oct-14
Pontiac      ,Bonneville       ,0.06630573354476169,13.225,Passenger,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,18-May-15
Pontiac      ,Montana          ,0.0730167952321302,.,Car,25.635,3.4,185,120,72.7,201.3,3.942,25,23,22-Jul-14
Porsche      ,Boxter           ,0.01641591929703155,41.25,Passenger,41.43,2.7,217,95.2,70.1,171,2.778,17,22,19-Feb-14
Porsche      ,Carrera Coupe    ,0.002164858608828552,60.625,Passenger,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,21-Dec-14
Porsche      ,Carrera Cabriolet,0.003249138219746101,67.55,Passenger,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,7-Nov-15
Saab         ,5-Sep,0.016802633356215454,.,Passenger,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11-Sep-14
Saab         ,3-Sep,0.022212929571783564,.,Passenger,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,6-Dec-15
Saturn       ,SL               ,0.1489681765784502,9.2,Passenger,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,16-Aug-14
Saturn       ,SC               ,0.04521408971396111,10.59,Passenger,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,16-Mar-15
Saturn       ,SW               ,0.009460617151231102,10.79,Passenger,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,15-Jan-15
Saturn       ,LW               ,0.015472262980362696,.,Passenger,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,8-May-15
Saturn       ,LS               ,0.0922914380767174,.,Passenger,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,12-Apr-14
Subaru       ,Outback          ,0.08695885473428673,.,Passenger,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,7-Jul-15
Subaru       ,Forester         ,0.060908389474716475,.,Car,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,9-Oct-14
Toyota       ,Corolla          ,0.26352990372855256,10.025,Passenger,13.108,1.8,120,97,66.7,174,2.42,13.2,33,4-Nov-15
Toyota       ,Camry            ,0.45866137725714257,13.245,Passenger,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,2-Oct-15
Toyota       ,Avalon           ,0.11793668621207101,18.14,Passenger,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,31-Aug-15
Toyota       ,Celica           ,0.06135431334200509,15.445,Passenger,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,29-Dec-14
Toyota       ,Tacoma           ,0.15538318922529518,9.575,Car,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,8-Jan-15
Toyota       ,Sienna           ,0.1202865754712268,.,Car,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,10-May-14
Toyota       ,RAV4             ,0.04625026135579358,13.325,Car,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,5-Jun-15
Toyota       ,4Runner          ,0.12637778447999912,19.425,Car,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,3-Jul-15
Toyota       ,Land Cruiser     ,0.017994230744322794,34.08,Car,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,25-Sep-15
Volkswagen   ,Golf             ,0.017857308063080644,11.425,Passenger,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,24-Jan-15
Volkswagen   ,Jetta            ,0.15470597704509753,13.24,Passenger,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,27-Aug-15
Volkswagen   ,Passat           ,0.09435082921485943,16.725,Passenger,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,30-Oct-14
Volkswagen   ,Cabrio           ,0.01750204921445237,16.575,Passenger,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,31-May-15
Volkswagen   ,GTI              ,0.010150781476951656,13.76,Passenger,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,4-Jan-15
Volkswagen   ,Beetle           ,0.09131817685599619,.,Passenger,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,20-Oct-15
Volvo        ,S40              ,0.03117211366062788,.,Passenger,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,18-Feb-15
Volvo        ,V40              ,0.006355802838740236,.,Passenger,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,21-Sep-15
Volvo        ,S70              ,0.028004388927025756,.,Passenger,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,24-Nov-14
Volvo        ,V70              ,0.03223418959350616,.,Passenger,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,25-Jun-15
Volvo        ,C70              ,0.006259586900570078,.,Passenger,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,26-Apr-15
Volvo        ,S80              ,0.03489493034521168,.,Passenger,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,14-Nov-15
